text,intent,response,category,keywords,
hello,greeting,Jambo! Welcome to AFCON 2027 Assistant! How can I help you today?,general,,
hi there,greeting,Hi! Ready for AFCON 2027? I'm here to help with hotels and tourism!,general,,
good morning,greeting,Good morning! Ready to plan your AFCON 2027 experience?,general,,
jambo,greeting,Jambo! Karibu Tanzania! How can I assist with your AFCON journey?,general,,
book a hotel,hotel_booking,I'll help you book a hotel. Which city? Dar es Salaam, Arusha, or Zanzibar?,booking
need a room,hotel_booking,Looking for a room? Let me know your preferred city and dates.,booking,,
hotel in dar,hotel_booking,Dar es Salaam has Serena Hotel ($250) Hyatt ($220) and Peacock Hotel ($80) near the National Stadium.,booking,,
hotel in dar es salaam,hotel_booking,Great choice! Dar es Salaam hotels near stadium: Serena $250 Hyatt $220 Holiday Inn $120 Peacock $80. What's your budget?,booking,,
hotel in arusha,hotel_booking,Arusha hotels: Arusha Serena $180 Mount Meru $150 Kibo Palace $100 Arusha Hotel $70. Perfect for safari too!,booking,,
hotel in zanzibar,hotel_booking,Zanzibar beach resorts: Zanzibar Serena $300 The Residence $280 TUI Blue $150 Gold Zanzibar $90.,booking,,
cheap hotel,hotel_booking,Budget hotels start at $50 in Dar $40 in Arusha and $60 in Zanzibar per night.,booking,,
luxury hotel,hotel_booking,Luxury hotels: Serena $250-300 Hyatt $220-280 Four Seasons $400+ per night.,booking,,
safari, tourism,Serengeti National Park is world famous! Safari packages from Arusha start at $200 per day.,tourism,,
serengeti,tourism,The Great Wildebeest Migration in Serengeti is one of the Seven Natural Wonders of Africa!,tourism,,
kilimanjaro,tourism,Mount Kilimanjaro is Africa's highest peak at 5895 meters. Climbing tours take 5-9 days cost $1000-2000.,tourism,,
climb kilimanjaro,tourism,Ready for adventure? Kilimanjaro climb via Machame route takes 6-7 days. Best time June-October.,tourism,,
beach,tourism,Zanzibar's best beaches: Nungwi for nightlife Kendwa for all-year swimming Paje for kite surfing.,tourism,,
zanzibar beach,tourism,Nungwi Beach in Zanzibar has crystal clear waters white sand and amazing sunsets!,tourism,,
stone town,tourism,Stone Town is Zanzibar's UNESCO World Heritage site. Great for history shopping and architecture!,tourism,,
afcon 2027,afcon,AFCON 2027 runs January 10 to February 10 2027. Opening match at National Stadium Dar es Salaam.,afcon,,
match schedule,afcon,Matches across 3 cities: National Stadium Dar (60k) Arusha Stadium (30k) Amaan Stadium Zanzibar (25k),afcon,,
afcon schedule,afcon,Group stage: Jan 10-24 Quarterfinals: Jan 26-27 Semifinals: Jan 30-31 Final: Feb 10,afcon,,
tanzania team,afcon,Taifa Stars is Tanzania's national team. They'll play group matches in Dar es Salaam.,afcon,,
match tickets,afcon,Tickets available online via CAF website. Prices $10 for general admission $50 for VIP.,afcon,,
how much cost,price_query,Hotel prices: Budget $50-100 Mid $100-200 Luxury $200-500 per night.,pricing,,
hotel prices,price_query,Dar: $50-300 Arusha: $40-250 Zanzibar: $60-500 per night depending on season.,pricing,,
budget hotel,price_query,Budget options start at $50/night in Dar $40 in Arusha $60 in Zanzibar.,pricing,,
airport transfer,transport,Airport transfers cost $20-50. Most hotels offer shuttle services. Uber available in Dar.,transport,,
taxi cost,transport,Taxis within city: $5-15. Always negotiate price first or use metered taxis.,transport,,
bus to arusha,transport,Buses from Dar to Arusha: Kilimanjaro Express $25 8 hours. Luxury buses available.,transport,,
ferry to zanzibar,transport,Ferry from Dar to Zanzibar: Azam Marine $35 2 hours. Book in advance during AFCON.,transport,,
local food,food,Must-try dishes: Ugali cornmeal Nyama Choma grilled meat Zanzibar Pizza and fresh seafood!,food,,
tanzania food,food,Local meals cost $3-8. Try Pilau rice Mishkaki beef skewers and Chipsi Mayai chips with eggs.,food,,
best restaurant,food,Popular restaurants: The Waterfront Dar Kulture Arusha Emerson Spice Zanzibar.,food,,
emergency help,emergency,Emergency contacts: Police 112 Ambulance 114 Tourist Police +255 22 212 3232,emergency,,
hospital,emergency,Major hospitals: Aga Khan Dar Arusha Lutheran Arusha Mnazi Mmoja Zanzibar.,emergency,,
lost passport,emergency,Contact your embassy immediately. US Embassy +255 22 229 4000 UK Embassy +255 22 229 0000,emergency,,
goodbye,farewell,Karibu Tanzania! Enjoy AFCON 2027! Safe travels and come back anytime!,farewell,,
thanks,farewell,You're welcome! Have a wonderful time in Tanzania. Asante sana!,farewell,,
bye,farewell,Kwaheri! Enjoy the matches and your stay in Tanzania!,farewell,,
Mambo vp,greeting,Poa mzm ww,general,"hi,hello",
Mambo vp,greeting,Poa mzm ww,general,"hi,hello",
Mambo vp,greeting,Poa mzm ww,general,"hi,hello",
Mambo vp,greeting,poa vp ww,general,"mambo,hi",
How can I go Zanzibar,transport,You can go Zanzibar by bordering a ferry,general,"ferry, zanzibar,transport",
